Period,Name of the painting,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
Cubist Period,Still life with Gobleet,1.8116,7.4988,206.8683,419.7920
Cubist Period,Still life with Guitar,1.9139,6.9981,77.5817,636.5679
Cubist Period,Still life with pitcher and apples,1.8207,7.4688,167.9969,509.0762
Cubist Period,Still life with violin and fruits,1.8435,7.3954,100.7889,622.4373
Cubist Period,Still life_1,1.8244,5.6782,22.2788,729.9342
Cubist Period,Student with newspaper,1.9106,7.3325,156.5223,591.5671
Cubist Period,Student with pipe,1.8552,7.2939,109.0919,445.7786
Cubist Period,Table in a Cafe (Bottle of Pernod),1.7886,7.4945,276.3900,435.7851
Cubist Period,Table in front of window,1.8101,7.8082,130.7875,592.3432
Cubist Period,The aficionado (The torero),1.6484,7.4481,258.1221,327.9499
Cubist Period,The chess,1.8989,7.7973,85.0115,289.3681
Cubist Period,The girls of Avignon,1.8631,7.7216,156.8945,607.8706
Cubist Period,The good Derain,1.7672,7.4860,329.9916,392.5085
Cubist Period,The guitar,1.8292,7.5060,117.4564,536.7508
Cubist Period,The guitar_1,1.8143,7.2155,103.2280,506.0727
Cubist Period,The happy family,1.8197,7.7980,349.2832,514.9314
Cubist Period,The Italian woman with a flower,1.9066,4.8690,25.5925,2251.6660
Cubist Period,The Mandolinist,1.7524,7.6427,279.8636,394.8859
Cubist Period,The Piano Accordionist,1.8076,7.6445,150.8817,519.0661
Cubist Period,The pigeon pea,1.8038,7.8098,310.2014,488.8702
Cubist Period,"The Reservoir, Horta de Ebro",1.9003,7.0009,349.3527,1145.7794
Cubist Period,The shell Saint Jacques (Our future is in the air),1.7803,6.1366,80.1189,608.1396
Cubist Period,The student,1.6928,7.4139,232.2586,385.6958
Cubist Period,The table,1.8617,7.5053,148.6357,311.4555
Cubist Period,The Tavern,1.7791,7.2736,97.0273,396.0911
Cubist Period,Three dancers,1.9321,7.5278,292.2893,577.0163
Cubist Period,Tricorne (study),1.9762,6.4384,101.7481,855.3762
Cubist Period,Untitled_1,1.8757,7.6575,179.3448,484.8875
Cubist Period,"Violin, glass, pipe and inkwell",1.8144,7.2130,101.8550,625.9528
Cubist Period,Violin,1.8786,7.1664,106.5558,495.6906
Cubist Period,Violin_1,1.8569,6.8888,118.0584,729.8376
Cubist Period,Violin_2,1.8010,7.4402,215.1905,492.6395
Cubist Period,Woman and pears (Fernande),1.6179,7.4602,176.3055,360.5115
Cubist Period,Woman sitting in an armchair,1.6234,7.1278,227.0046,401.7238
Cubist Period,Woman with a Mandolin,1.8130,7.4060,363.7966,491.3874
Cubist Period,Woman with a shirt sitting in a chair,1.5150,7.2049,266.2005,267.8680
Cubist Period,Woman with guitar and piano,1.6575,7.5183,206.7687,335.2290
Cubist Period,Woman with guitar,1.6974,7.5254,260.2997,360.6161
Cubist Period,Woman with guitar_1,1.7852,7.5811,116.4372,441.7195
Cubist Period,Woman with spanish dress,1.8479,7.2916,141.7567,879.2677
Early Years,A blue room (A tub),1.8480,7.8319,630.7229,831.2868
Early Years,A spanish couple in front of inn,1.7408,7.3799,723.5743,585.2970
Early Years,Academical study,1.9008,7.6989,1470.4727,811.5139
Early Years,Advertisement for tavern Four cats,1.8967,7.3717,297.4299,1130.2577
Early Years,Antes,1.8776,7.8358,554.5159,709.6936
Early Years,Artist's mother,1.6236,7.3846,280.7633,327.1443
Early Years,Bullfight scene,1.7645,7.6403,294.8578,481.6166
Early Years,Bullfighters and bull waiting for the next move,1.8675,7.0774,50.5632,642.3987
Early Years,Bust of young man,1.3630,6.2252,205.3255,199.2078
Early Years,Couple walking,1.8325,7.3562,97.4332,301.0994
Early Years,Courtesan with necklace of gems,1.7978,7.5641,167.9228,459.6604
Early Years,Embrace,1.7998,7.5995,827.3136,782.7835
Early Years,Fairground,1.5551,7.3397,354.2058,375.1670
Early Years,Female nude from back,1.4426,6.9853,228.9536,237.5481
Early Years,First Communion,1.6413,7.4871,76.6628,384.0651
Early Years,Flower seller,1.8309,7.8897,252.7139,401.0525
Early Years,Gypsy in front of Musca,1.7134,7.5534,178.4177,418.6839
Early Years,Head of a child,1.6481,6.9930,230.0579,314.7679
Early Years,Head of a Man in El Greco style,1.6165,6.5702,337.4541,455.7258
Early Years,Head of woman,1.8111,7.6502,115.5937,534.6982
Early Years,House in the field,1.7474,7.2147,368.4481,421.2331
Early Years,Jeanne (Reclining nude),1.8445,7.6711,198.4788,604.7738
Early Years,La chata,1.7290,7.7544,362.8029,702.3744
Early Years,Lola,1.7175,7.4598,644.5133,704.4617
Early Years,Longchamp,1.8579,7.5045,176.5038,477.8674
Early Years,Lovers of the street,1.5502,7.2380,241.0721,302.6777
Early Years,Madrilenian (Head of young woman),1.7398,7.4996,164.7572,469.3553
Early Years,Mother and child behind the bouquet of flowers,1.6302,7.3316,297.4008,360.9323
Early Years,Moulin de la Galette,1.6575,7.0759,363.6301,574.9790
Early Years,Pablo Picasso and Sebastìa Junyer-Vidal arrives to Paris,1.9361,7.6759,1152.8482,1101.1171
Early Years,Pablo Picasso and Sebastìa Junyer-Vidal arrives to Paris_1,1.8729,7.0555,139.2779,963.9428
Early Years,Picador,1.8675,7.2953,96.3216,637.3438
Early Years,Picasso with partner,1.8656,7.5393,147.5213,522.3109
Early Years,Pierreuse with her hand on her shoulder,1.4939,7.1615,246.8849,277.3265
Early Years,Pierrot and Colombina,1.5392,7.0876,249.9631,312.7004
Early Years,Plaster male torso,1.8852,7.2343,81.9943,1066.9921
Early Years,Portrait of aunt Pepa,1.3187,5.6186,105.7186,152.5713
Early Years,Portrait of Bibi la Purée,1.8015,7.7982,182.8531,522.4531
Early Years,Portrait of Casagemas,1.7241,7.1514,1373.1081,513.8386
Early Years,Portrait of Gustave Coquiot,1.7061,7.3249,220.2664,419.3425
Early Years,Portrait of Gustave Coquiot_1,1.6992,6.7944,647.1654,551.3588
Early Years,Portrait of Josep Cardona,1.6945,7.3882,457.6185,757.6094
Early Years,Portrait of Petrus Manach,1.8968,7.5875,290.2539,972.6161
Early Years,Portrait of the Artist's Mother,1.8361,7.8652,926.9825,775.8675
Early Years,Profile of a young girl (Girl with red flower in her hair),1.8566,7.6430,131.1197,511.3948
Early Years,Quarries,1.7865,7.4571,354.1385,445.6405
Early Years,Sada Yacco,1.8540,7.4369,87.4791,528.8500
Early Years,Science and Charity,1.8336,7.7755,1197.6388,725.4433
Early Years,Seated woman in green,1.9184,7.2703,115.7608,533.5389
Early Years,Self-Portrait,1.7159,7.3229,1102.1563,586.9776
Early Years,Self-Portrait_1,1.8194,7.9466,446.9075,527.5119
Early Years,Self-Portrait_3,1.7190,7.4538,138.0925,461.5455
Early Years,Self-Portrait_4,1.7773,7.4476,944.8294,571.3051
Early Years,Self-Portrait_5,1.7517,7.6434,114.4920,398.7239
Early Years,Snackbar in the  open air,1.6295,7.4159,316.3297,388.2273
Early Years,Stuffed shirts,1.8248,7.8721,993.1543,666.8258
Early Years,The 'Divan Japonais',1.8858,7.5843,170.5780,467.9439
Early Years,The altarboy,1.6023,7.4535,70.7209,348.2774
Early Years,The barefoot girl,1.7552,7.4787,1051.4690,760.7596
Early Years,The brutal embrace,1.1804,6.7489,316.5803,299.7041
Early Years,The corrida,1.7510,7.5610,283.9774,513.1343
Early Years,The cries of virgins,1.8587,7.5076,127.2370,554.0388
Early Years,The Fourteenth of July,1.8343,7.8728,636.8689,790.4689
Early Years,The old fisherman,1.5973,7.4270,87.0591,370.2518
Early Years,The picador,1.9055,7.8658,1470.5447,779.9322
Early Years,The pool of Tuileries,1.8377,7.5341,93.7851,217.9070
Early Years,The Sun King,1.8337,7.3677,135.9897,394.1091
Early Years,View of Riera de Sant Joan from the window,1.5913,7.4089,364.7355,279.6742
Early Years,Woman at a Fountain,1.7774,7.6692,186.2705,499.3609
Early Years,Woman dressed in blue,1.8520,7.6300,212.3253,1034.3689
Early Years,Woman on the street,1.8332,7.5060,139.9326,296.4967
Early Years,Woman with blue hat,1.8718,7.2073,192.9130,562.3476
Early Years,Woman with cap,1.7897,7.6068,395.8596,572.0167
Early Years,Woman with Cat,1.7547,7.5196,186.3803,402.2214
Early Years,Woman with feathered hat,1.6309,7.2609,163.4907,309.4094
Early Years,Woman with hat,1.8707,7.5854,128.3918,557.5371
Early Years,Woman with jewelery,1.6206,7.3976,291.1412,353.0234
Early Years,Woman with necklace of gems,1.7499,7.6058,125.0372,525.1272
Early Years,Women in the loge,1.7084,7.5900,256.0308,358.5300
Later Years,Algerian women (Delacroix),1.7618,7.6859,180.4376,471.4661
Later Years,Algerian women,1.7317,7.7655,114.8112,213.8703
Later Years,An artist,1.8010,7.8172,182.3364,379.9913
Later Years,An artist_1,1.9212,7.1354,62.1217,557.5238
Later Years,Armchair 'California',1.8760,7.7554,134.4815,541.1372
Later Years,Bearded man,1.8423,7.5865,129.2578,436.5373
Later Years,Big heads,1.8182,7.8356,232.0933,528.8954
Later Years,Bobo (Velazquez-Murillo),1.7518,7.4643,116.5802,182.5533
Later Years,Breakfast,1.7302,7.7845,113.0871,361.2090
Later Years,Buffet Henry II and armchair with dog,1.7562,7.5660,235.5880,415.8101
Later Years,Bullfighting Scene (The picador raised),1.7352,7.3261,91.2965,418.7213
Later Years,Bullfighting Scene (The torero is raised),1.6891,7.5279,133.8541,319.4258
Later Years,Bust of Woman with Yellow Ribbon (Jacqueline),1.6772,5.6662,39.3061,166.2789
Later Years,Bust of woman_7,1.8912,7.5849,99.8107,563.2126
Later Years,Bust of woman_8,1.8435,7.5782,147.0177,478.9038
Later Years,Child playing in camomilles,1.8548,7.7009,252.5212,429.5557
Later Years,Claude and Paloma playing,1.7300,7.7043,131.5467,192.4653
Later Years,Crouching female nude,1.6977,7.4159,192.6386,353.3373
Later Years,Crouching female nude_1,1.8386,7.5657,156.2226,488.7894
Later Years,Crouching man,1.9214,6.9411,76.0794,621.7275
Later Years,Danae,1.8152,7.4500,76.0538,326.4200
Later Years,Dance of Fauns,1.8627,7.3077,82.6961,367.5217
Later Years,Dancer_1,1.8957,2.5723,26.3376,974.7892
Later Years,Don Quixote,1.8881,3.0707,28.8477,479.0351
Later Years,Dora Maar with Cat,1.7814,7.6396,55.7165,1640.9936
Later Years,Drawing nude seated in armchair,1.9197,7.3163,111.9192,670.2356
Later Years,Drawing woman surrounded by her children,1.8301,7.8366,201.5807,442.2303
Later Years,Embrace_1,1.8859,7.7386,149.5011,531.2944
Later Years,Family,1.8911,7.8851,190.8968,536.0202
Later Years,Female nude near the garden,1.7697,7.4852,144.0195,322.6439
Later Years,Female nude sitting in the armchair,1.9241,7.5514,122.4140,618.7392
Later Years,Female nude with man's head,1.9513,7.2503,140.4990,697.3565
Later Years,Fish chowder,1.9137,7.7992,169.7288,424.9225
Later Years,Francoise Gilot with Paloma and Claude,1.7862,7.7456,62.1012,237.0511
Later Years,Girl in chair,1.7235,7.8852,168.9499,457.3458
Later Years,Head of a Girl_1,1.8837,5.5280,33.0427,227.1871
Later Years,Head of a man with straw hat,1.8462,7.7421,161.7348,500.0109
Later Years,Interior with girl drawing,1.8058,7.8452,172.4442,548.6233
Later Years,Jacqueline at the studio,1.8119,7.8508,176.3782,482.7683
Later Years,Jacqueline in turkish costume,1.9062,7.3833,126.6973,664.8486
Later Years,Jacqueline sitting with her cat,1.8734,7.6506,145.2896,514.8662
Later Years,Jacqueline with flowers,1.6138,6.9666,77.9619,396.2127
Later Years,Jug with handle,1.8446,7.6635,177.5038,445.9423
Later Years,Las Meninas (Velazquez),1.7437,7.6799,165.6076,489.1783
Later Years,Las Meninas (Velazquez)_1,1.6631,7.4332,144.6480,362.4513
Later Years,Las Meninas (Velazquez)_2,1.7078,7.0548,60.9546,497.2308
Later Years,Las Meninas (Velazquez)_3,1.8347,7.7115,160.3326,675.7408
Later Years,Las Meninas (Velazquez)_4,1.7335,7.8527,240.8625,449.8653
Later Years,Las Meninas (Velazquez)_5,1.7807,7.3027,109.4371,482.9453
Later Years,Las Meninas (Velazquez)_6,1.6942,7.6251,201.6984,430.6890
Later Years,Luncheon on the grass,1.6268,7.5385,288.2675,341.6379
Later Years,Lying female nude playing  with cat,1.8050,7.5597,54.6208,315.4882
Later Years,Lying female nude playing  with cat_1,1.7256,7.7765,92.3048,250.9006
Later Years,Lying female nude under the pine tree,1.7267,7.4550,105.6759,236.1845
Later Years,Lying female nude with cat,1.6917,7.4707,118.0961,212.3383
Later Years,Lying female nude_3,1.7729,7.6254,95.0955,254.4617
Later Years,Lying female nude_4,1.7365,7.7169,120.4633,236.9535
Later Years,Lying female nude_5,1.7792,7.6392,129.8255,245.9017
Later Years,Lying naked woman (The Voyeurs),1.7222,7.7762,81.0523,383.7043
Later Years,Lying naked woman,1.7604,7.8279,90.0549,422.7980
Later Years,Lying naked woman_1,1.8073,7.6898,94.0227,462.7739
Later Years,Man and woman on the beach,1.7823,7.6009,62.9513,386.4221
Later Years,Man and Woman_2,1.9264,7.5481,125.5431,616.3059
Later Years,Man and Woman_3,1.9185,7.5419,158.4188,643.5027
Later Years,"Man with lamb, man eating watermelon and flutist",1.8799,6.5377,99.2962,832.9863
Later Years,Man with pipe_1,1.8399,7.6377,132.3623,610.0476
Later Years,Maria Agustina Sarmiento (Velazquez),1.8224,7.5884,247.9436,406.4910
Later Years,Matador and female nude,1.5748,7.1766,108.7322,133.3000
Later Years,Matador,1.8233,7.7674,268.3300,417.1951
Later Years,Mediterranean Landscape,1.7692,7.6012,171.8081,264.5326
Later Years,Mother and child_7,1.8767,5.7160,34.5900,681.3508
Later Years,Musketeer with pipe,1.8136,7.8966,178.9922,548.7408
Later Years,Musketeer,1.9154,7.7668,155.9641,594.8641
Later Years,Naked man and woman,1.9006,7.8087,194.6349,567.3526
Later Years,Naked woman and musketeer,1.8867,7.8523,237.5530,541.1222
Later Years,Naked woman in rocking chair,1.8391,7.5330,120.1468,469.9773
Later Years,Naked woman on the beach and shovel,1.8444,7.7342,203.1478,519.5480
Later Years,Nude gathering flowers,1.8491,7.3824,56.1507,518.7372
Later Years,Nude woman with turkish bonnet,1.9032,7.6477,162.5563,597.9047
Later Years,Painter and his model_2,1.7020,7.6313,125.3484,351.2275
Later Years,Painter and his model_3,1.6188,7.5405,150.2090,285.4608
Later Years,Painter and his model_4,1.7526,7.5816,238.7409,471.3761
Later Years,Painter and his palette,1.8236,5.9036,18.6311,668.3990
Later Years,Paternity,1.8814,7.7641,207.8717,555.2205
Later Years,Picador on the horseback on arena,1.8835,5.4680,60.4830,588.6670
Later Years,Plat ovale,1.8359,7.7363,232.3402,452.1426
Later Years,Portrait of child,1.8465,6.6634,51.6405,645.0747
Later Years,Portrait of Jacqueline Roque with her hands crossed,1.7732,7.8482,129.3904,515.8681
Later Years,Portrait of Jacqueline,1.8569,7.5673,37.4123,508.2853
Later Years,Portrait of Sylvette David in green chair,1.8229,7.5885,108.5881,601.9840
Later Years,Portrait of Sylvette David,1.7975,7.6202,90.6530,595.3519
Later Years,Portrait of Sylvette David_1,1.8394,7.8234,386.2599,560.9135
Later Years,Portrait of Sylvette David_2,1.8461,7.6604,259.8026,640.3014
Later Years,Portrait of Sylvette David_3,1.7340,7.6390,98.6194,507.0438
Later Years,Reclining Nude with wreath,1.8956,7.7468,137.1828,547.5697
Later Years,Reclining woman reading,1.7350,7.5606,199.6898,435.1319
Later Years,Reclining woman_3,1.7988,7.7271,223.7797,455.1466
Later Years,Seated female nude_6,1.8596,7.5691,82.4563,574.2713
Later Years,Seated man (Self-portrait),1.8554,7.3393,156.8059,716.9671
Later Years,Seated man playing flute,1.9303,7.5246,122.9694,639.5473
Later Years,Seated old man,1.8135,7.7147,258.9097,546.6210
Later Years,Seated woman (Jacqueline),1.7604,7.7311,93.5698,353.3881
Later Years,Seated Woman with Red Hat,1.7350,7.7676,93.8724,236.0113
Later Years,Seated woman_11,1.6052,7.4261,60.7042,266.2672
Later Years,Seated woman_12,1.8958,7.4483,105.0937,482.3037
Later Years,Seated woman_13,1.9160,7.5663,69.2496,595.5493
Later Years,Smoke over Vallauris,1.7145,7.5137,150.6322,286.8697
Later Years,Spring,1.8020,7.7040,141.6625,434.9671
Later Years,Standing female nude and man with pipe,1.7038,7.7432,185.7727,475.8202
Later Years,Still life on the dresser,1.7372,7.6667,68.8744,418.6619
Later Years,Still life with cat and lobster,1.8419,7.8663,235.2038,489.1772
Later Years,Studio (Pigeons perch),1.7743,7.6563,172.4460,425.6625
Later Years,Studio (Pigeons) (Velazquez),1.8241,7.7541,235.8380,441.6569
Later Years,Studio (Pigeons) (Velazquez)_1,1.7942,7.6653,278.9057,392.4676
Later Years,Studio (Pigeons) (Velazquez)_2,1.8317,7.8349,272.8756,479.1659
Later Years,Studio (Pigeons) (Velazquez)_3,1.8216,7.8569,245.2128,438.6171
Later Years,Studio of 'California in Cannes,1.7548,7.5381,166.5281,408.5414
Later Years,The Abduction of Sabines,1.8766,7.6922,156.6855,340.0065
Later Years,The Abduction of Sabines_1,1.7819,7.6211,205.3966,377.1992
Later Years,The Abduction of Sabines_2,1.7610,7.3891,156.6015,455.5977
Later Years,The Aubade,1.8375,7.7688,234.4381,549.6991
Later Years,The beach in Garoupe,1.7728,7.5532,134.2631,435.4657
Later Years,The beach in Garoupe_1,1.7744,7.4912,78.5987,448.1844
Later Years,The dining room of Vauvenargues,1.7384,7.7716,155.5906,459.0068
Later Years,The eight names of Picasso,1.9308,2.8959,30.7966,837.7235
Later Years,The Italian woman,1.8199,7.3658,275.2746,1636.1632
Later Years,The Luncheon on the Grass,1.8228,7.7151,522.1991,393.3481
Later Years,The Luncheon on the Grass_1,1.6505,7.1427,59.2993,186.5819
Later Years,The Man with a Pipe,1.7994,7.8158,272.2288,532.2405
Later Years,The piano  (Velazquez),1.7288,7.5467,156.4241,415.1468
Later Years,The shadow,1.8229,7.6498,113.6777,458.1936
Later Years,Two seated women,1.8174,7.4971,49.5559,245.4676
Later Years,Two women on the beach,1.8257,7.5737,59.9470,459.8021
Later Years,Two women on the beach_1,1.8826,7.7648,149.1786,521.6038
Later Years,Untitled_41,1.9418,7.1617,113.0534,725.1429
Later Years,Untitled_42,1.9035,7.6250,235.7543,580.1198
Later Years,Untitled_43,1.7484,7.6053,286.2586,360.9835
Later Years,Untitled_44,1.8440,7.5820,351.5455,434.2817
Later Years,Untitled_45,1.9172,7.1605,321.0714,289.2851
Later Years,Untitled_46,1.8630,5.1384,47.2450,851.9028
Later Years,Untitled_47,1.8623,6.4397,67.0422,758.0256
Later Years,Untitled_48,1.9183,7.5671,514.0935,238.4797
Later Years,Untitled_49,1.9317,5.2950,95.1317,410.6395
Later Years,Untitled_50,1.8470,7.2371,376.6326,191.2175
Later Years,Untitled_51,1.9201,5.4054,114.4585,369.3808
Later Years,Untitled_52,1.9011,7.2561,275.1930,280.2102
Later Years,Untitled_53,1.9216,6.7555,221.9498,347.9425
Later Years,Untitled_54,1.9500,4.3599,56.7044,410.0301
Later Years,Woman in Armchair,1.7268,7.5921,69.3281,212.7990
Later Years,Woman in the studio,1.7024,7.3628,111.4254,309.8591
Later Years,Woman reading_1,1.8459,5.1902,30.3902,757.9866
Later Years,Woman sitting in an armchair_10,1.9165,7.0902,52.1701,617.5644
Later Years,Woman sitting in an armchair_9,1.8101,7.4397,155.7338,512.9440
Later Years,Woman sitting in blue armchair,1.7970,7.4711,184.3447,433.3365
Later Years,Woman with bird,1.7587,7.2334,45.5519,297.3707
Later Years,Woman with bird_1,1.7922,7.5711,108.5735,489.1187
Later Years,Woman with braid,1.9049,7.4626,114.2026,591.4838
Later Years,Woman with hat_2,1.8226,7.2770,68.9562,513.8756
Later Years,Woman with hat_3,1.6280,6.3086,108.8752,163.1403
Later Years,Women of Algiers,1.8019,6.9131,66.8822,355.1574
Later Years,Women's toilette,1.8068,7.5821,67.8976,405.3337
Neoclassicist & Surrealist Period,A blue acrobat,1.8889,6.3559,24.7233,744.6918
Neoclassicist & Surrealist Period,A bullfight,1.7214,7.5149,130.3120,309.2924
Neoclassicist & Surrealist Period,A bullfight_1,1.9031,7.9218,334.0786,566.7898
Neoclassicist & Surrealist Period,A child with pigeons,1.7469,7.5943,252.6153,463.0455
Neoclassicist & Surrealist Period,A dream,1.7630,7.3983,39.2984,560.2731
Neoclassicist & Surrealist Period,A hat with flowers,1.6457,7.3962,92.2636,322.1177
Neoclassicist & Surrealist Period,A lamp,1.7887,7.5696,88.1825,458.5039
Neoclassicist & Surrealist Period,A muse,1.8068,7.8062,277.1827,489.6537
Neoclassicist & Surrealist Period,A reclining female nude,1.7993,7.7493,128.4749,498.4030
Neoclassicist & Surrealist Period,A rooster,1.9440,7.2569,178.7792,665.9847
Neoclassicist & Surrealist Period,A rooster_1,1.8152,7.7684,159.9739,588.0957
Neoclassicist & Surrealist Period,Abduction (Nessus and Deianeira),1.8266,7.4678,215.4812,482.4797
Neoclassicist & Surrealist Period,Abduction (Nessus and Deianeira)_1,1.8826,6.8961,238.4222,794.1074
Neoclassicist & Surrealist Period,Acrobat,1.8729,7.4439,686.2958,509.5071
Neoclassicist & Surrealist Period,Acrobat_1,1.7629,7.1759,23.0589,608.9845
Neoclassicist & Surrealist Period,Artist and his model,1.7888,7.6600,135.4233,520.6078
Neoclassicist & Surrealist Period,Artist's son,1.9380,6.5473,79.8085,687.9543
Neoclassicist & Surrealist Period,Artist's studio on street La Boetie,1.8931,7.0906,122.6128,574.8091
Neoclassicist & Surrealist Period,Bacchic scene with minotaur,1.9066,4.6140,139.5098,336.8532
Neoclassicist & Surrealist Period,Ballplayers on the beach,1.8031,7.4585,104.6393,508.6039
Neoclassicist & Surrealist Period,Bather opening a cabin,1.8650,6.8238,251.5914,583.3688
Neoclassicist & Surrealist Period,Bather with beach ball,1.7701,7.5524,172.7787,485.1642
Neoclassicist & Surrealist Period,Bathers on the beach,1.7539,7.4386,259.4112,433.1669
Neoclassicist & Surrealist Period,Bathers_1,1.9120,7.1596,159.2738,706.8642
