Period,Name of the painting,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
Neoclassicist & Surrealist Period,Seated woman_4,1.7169,7.4393,103.0665,426.8547
Neoclassicist & Surrealist Period,Seated woman_5,1.9223,7.4188,116.7494,765.1751
Neoclassicist & Surrealist Period,Seated woman_6,1.8879,7.6973,371.8631,643.9095
Neoclassicist & Surrealist Period,Seated woman_7,1.7383,7.6543,61.4195,487.8438
Neoclassicist & Surrealist Period,Seated Woman_8,1.7613,7.8305,222.3157,518.5038
Neoclassicist & Surrealist Period,Seated woman_9,1.7848,7.7591,356.4785,450.9273
Neoclassicist & Surrealist Period,Silenus dancing in company,1.8383,7.3605,129.4813,565.1743
Neoclassicist & Surrealist Period,Skull and leeks,1.7439,7.7319,119.4698,360.4434
Neoclassicist & Surrealist Period,"Skull, urchins and lamp on a table",1.7691,7.8456,97.4759,521.2088
Neoclassicist & Surrealist Period,Sleep,1.8320,6.9524,11.7746,678.7411
Neoclassicist & Surrealist Period,Sleeper near the shutters,1.8618,7.7284,193.9867,466.3922
Neoclassicist & Surrealist Period,Square du Vert-Galant,1.7177,7.6512,222.6215,308.4066
Neoclassicist & Surrealist Period,Standing female nude_2,1.9478,7.0525,275.6920,557.9991
Neoclassicist & Surrealist Period,Standing nude_1,1.7109,7.3242,140.0103,537.5204
Neoclassicist & Surrealist Period,Standing woman,1.8937,7.5982,104.1912,510.9392
Neoclassicist & Surrealist Period,Still life on a table,1.7982,7.6652,147.6691,495.6448
Neoclassicist & Surrealist Period,"Still life with a bull's head, book and candle range",1.6859,7.5483,167.4763,367.7833
Neoclassicist & Surrealist Period,Still life with antique bust,1.6597,6.4760,33.7096,396.6757
Neoclassicist & Surrealist Period,Still life with bull's skull,1.7201,7.7109,125.1371,396.8105
Neoclassicist & Surrealist Period,Still life with candle,1.7131,7.3623,75.7943,188.5834
Neoclassicist & Surrealist Period,Still life with candlestick,1.6571,6.8421,152.6074,360.8784
Neoclassicist & Surrealist Period,Still life with fishing net,1.7756,7.6982,278.8062,458.4138
Neoclassicist & Surrealist Period,Still life with Guitar_1,1.7572,7.7994,196.4078,467.9545
Neoclassicist & Surrealist Period,Still life with jug and bread,1.7345,7.5643,196.3683,518.0433
Neoclassicist & Surrealist Period,Still life with lamp,1.8530,7.8235,211.4739,618.8634
Neoclassicist & Surrealist Period,Still life with lemon and jug,1.8507,6.2926,25.8496,585.2598
Neoclassicist & Surrealist Period,Still life with lemon and oranges,1.7705,7.5596,64.2708,399.8376
Neoclassicist & Surrealist Period,Still life with skull of ox,1.4220,6.9417,102.3001,247.1923
Neoclassicist & Surrealist Period,Still life with skull on an armchair,1.9483,7.3631,138.9256,632.4930
Neoclassicist & Surrealist Period,Still life with stone,1.6876,7.6727,91.8819,313.6970
Neoclassicist & Surrealist Period,Still life with the mandolin,1.8258,7.5494,91.1047,441.2536
Neoclassicist & Surrealist Period,"Still life, school of Paris",1.7614,6.8931,27.6904,237.4226
Neoclassicist & Surrealist Period,Still life_2,1.6920,7.2378,52.9657,291.0931
Neoclassicist & Surrealist Period,Still life_3,1.5238,6.5380,72.5715,146.2498
Neoclassicist & Surrealist Period,Still life_4,1.7847,7.6006,91.8323,367.1877
Neoclassicist & Surrealist Period,Still life_5,1.8228,7.8819,154.3328,602.2754
Neoclassicist & Surrealist Period,Studio,1.7643,7.5173,195.6983,371.3849
Neoclassicist & Surrealist Period,Studio_1,1.8604,7.4011,47.4872,557.6649
Neoclassicist & Surrealist Period,Study of Cannes,1.8747,7.0830,63.7083,294.5226
Neoclassicist & Surrealist Period,The Abduction,1.8301,6.8692,21.5712,288.8057
Neoclassicist & Surrealist Period,The Buffet 'Catalan',1.5483,7.0620,57.9705,135.7715
Neoclassicist & Surrealist Period,The buffet of 'Catalan',1.6151,7.2389,117.1342,348.8455
Neoclassicist & Surrealist Period,The dance,1.6415,7.5560,135.1424,346.6284
Neoclassicist & Surrealist Period,The fighters,1.8802,6.3048,44.6391,272.6261
Neoclassicist & Surrealist Period,The Imploring,1.7270,7.6092,210.4774,451.3619
Neoclassicist & Surrealist Period,The Kiss,1.7514,7.5764,147.3800,474.8693
Neoclassicist & Surrealist Period,The kitchen,1.8115,7.7498,212.6549,350.6922
Neoclassicist & Surrealist Period,The kitchen_1,1.8587,7.3402,90.6238,646.4555
Neoclassicist & Surrealist Period,The mass grave,1.8235,7.6135,117.8785,674.5078
Neoclassicist & Surrealist Period,The mirror,1.7633,7.5081,110.6548,509.4887
Neoclassicist & Surrealist Period,The Remains of Minotaur in a harlequin costume,1.8373,7.7297,170.6431,589.1707
Neoclassicist & Surrealist Period,The rescue,1.8116,7.6791,457.1523,455.7460
Neoclassicist & Surrealist Period,The sailor,1.7898,7.6347,94.3782,526.7134
Neoclassicist & Surrealist Period,The Sculptor and His Statue,1.6880,7.6335,105.3713,454.7403
Neoclassicist & Surrealist Period,The sculptor,1.8391,7.6397,119.4065,676.1323
Neoclassicist & Surrealist Period,The sculpture,1.8068,7.5205,47.0305,585.7216
Neoclassicist & Surrealist Period,The serenade,1.5095,6.6980,96.3686,249.4566
Neoclassicist & Surrealist Period,The straw hat with blue leaves,1.7277,7.3785,59.7912,376.8761
Neoclassicist & Surrealist Period,The Studio,1.8697,5.9745,24.1487,836.7908
Neoclassicist & Surrealist Period,The Swimmer,1.8906,6.7224,276.1887,647.6422
Neoclassicist & Surrealist Period,The yellow shirt (Dora Maar),1.7919,7.7158,122.2080,522.4497
Neoclassicist & Surrealist Period,Three women at a fountain (study),1.8705,7.7916,68.5919,563.9929
Neoclassicist & Surrealist Period,Three women at a fountain (study)_1,1.6460,7.3221,185.5349,296.4135
Neoclassicist & Surrealist Period,Three women at a fountain (study)_2,1.8686,7.8024,143.2989,485.3464
Neoclassicist & Surrealist Period,Three women at a fountain (study)_3,1.8106,7.2503,326.3004,360.9951
Neoclassicist & Surrealist Period,Three women at a fountain,1.5148,6.8680,172.6009,239.6751
Neoclassicist & Surrealist Period,Three women at a fountain_1,1.7677,7.3341,227.2706,229.9294
Neoclassicist & Surrealist Period,Three women at a fountain_2,1.8455,7.7693,309.4713,478.2622
Neoclassicist & Surrealist Period,Tomato plant,1.7997,7.8246,226.3312,571.8622
Neoclassicist & Surrealist Period,Two bathers,1.6510,7.5720,143.7070,382.3947
Neoclassicist & Surrealist Period,Two bathers_1,1.9067,6.2629,168.7939,883.3016
Neoclassicist & Surrealist Period,Two dressed models,1.8666,5.6479,148.1399,834.5261
Neoclassicist & Surrealist Period,Two figures_1,1.7205,7.1278,115.0742,469.6514
Neoclassicist & Surrealist Period,Two naked women on the beach,1.6764,7.3780,210.3889,252.2474
Neoclassicist & Surrealist Period,Two nude women_3,1.9383,6.2663,33.0156,467.4962
Neoclassicist & Surrealist Period,Two nude women_4,1.7609,7.4695,131.9526,318.2138
Neoclassicist & Surrealist Period,Two nude women_5,1.8513,7.4063,87.8544,428.9978
Neoclassicist & Surrealist Period,Two Women Running on the Beach (The Race),1.6715,7.6630,133.2624,523.8853
Neoclassicist & Surrealist Period,Ulysses and sirens,1.8592,7.4824,173.7298,673.3821
Neoclassicist & Surrealist Period,Untitled_10,1.9580,4.8076,55.2578,868.0923
Neoclassicist & Surrealist Period,Untitled_11,1.9539,5.9115,59.8848,815.1776
Neoclassicist & Surrealist Period,Untitled_12,1.9527,6.5358,104.9787,773.5829
Neoclassicist & Surrealist Period,Untitled_13,1.8242,7.5171,114.1855,399.9388
Neoclassicist & Surrealist Period,Untitled_14,1.9348,7.1362,317.5333,541.1867
Neoclassicist & Surrealist Period,Untitled_15,1.8592,7.6362,173.6364,476.8097
Neoclassicist & Surrealist Period,Untitled_16,1.8152,7.6606,202.1447,385.9831
Neoclassicist & Surrealist Period,Untitled_17,1.7008,6.8032,166.8821,307.2344
Neoclassicist & Surrealist Period,Untitled_18,1.8343,7.7203,261.4664,395.9341
Neoclassicist & Surrealist Period,Untitled_19,1.8331,7.7133,270.2786,413.6157
Neoclassicist & Surrealist Period,Untitled_2,1.8166,7.3272,36.6216,430.0731
Neoclassicist & Surrealist Period,Untitled_20,1.8780,7.6336,175.7834,431.9384
Neoclassicist & Surrealist Period,Untitled_21,1.8518,7.4510,196.2870,406.0813
Neoclassicist & Surrealist Period,Untitled_22,1.8221,7.7028,136.0026,468.7641
Neoclassicist & Surrealist Period,Untitled_23,1.7639,7.3096,147.9700,349.6637
Neoclassicist & Surrealist Period,Untitled_24,1.8703,7.7893,211.6929,530.8350
Neoclassicist & Surrealist Period,Untitled_25,1.8879,7.5743,93.0865,518.7870
Neoclassicist & Surrealist Period,Untitled_26,1.8823,7.3334,89.6261,467.9829
Neoclassicist & Surrealist Period,Untitled_27,1.9505,6.6792,90.5510,731.6925
Neoclassicist & Surrealist Period,Untitled_28,1.9466,6.8527,106.6099,702.7699
Neoclassicist & Surrealist Period,Untitled_29,1.8256,7.5143,72.3086,487.4909
Neoclassicist & Surrealist Period,Untitled_3,1.8229,7.6054,51.7834,508.9333
Neoclassicist & Surrealist Period,Untitled_30,1.6963,7.5046,141.2080,369.6910
Neoclassicist & Surrealist Period,Untitled_31,1.9386,7.3304,210.1129,593.9027
Neoclassicist & Surrealist Period,Untitled_32,1.8384,7.7421,356.8206,432.1262
Neoclassicist & Surrealist Period,Untitled_33,1.8772,7.6140,128.9647,486.6024
Neoclassicist & Surrealist Period,Untitled_34,1.8557,7.6804,257.6510,480.6918
Neoclassicist & Surrealist Period,Untitled_35,1.7594,7.3897,171.7900,342.0021
Neoclassicist & Surrealist Period,Untitled_36,1.7389,7.5313,256.9704,391.9130
Neoclassicist & Surrealist Period,Untitled_37,1.7956,7.6603,264.7641,352.6184
Neoclassicist & Surrealist Period,Untitled_38,1.8224,7.7362,137.8885,416.8159
Neoclassicist & Surrealist Period,Untitled_39,1.9392,6.8604,36.6918,708.9091
Neoclassicist & Surrealist Period,Untitled_4,1.9157,7.3894,112.2249,601.4573
Neoclassicist & Surrealist Period,Untitled_40,1.7775,7.5712,356.3750,367.0240
Neoclassicist & Surrealist Period,Untitled_5,1.7536,7.3443,151.3657,474.8195
Neoclassicist & Surrealist Period,Untitled_6,1.8243,7.5396,145.5748,413.7045
Neoclassicist & Surrealist Period,Untitled_7,1.8631,7.6172,136.7296,462.7470
Neoclassicist & Surrealist Period,Untitled_8,1.6971,7.2642,139.9393,367.0630
Neoclassicist & Surrealist Period,Untitled_9,1.7897,7.7197,177.8935,419.4541
Neoclassicist & Surrealist Period,Vase with flowers,1.6586,7.5117,240.1792,339.3377
Neoclassicist & Surrealist Period,Vase with flowers_1,1.6156,7.0824,48.7532,157.3709
Neoclassicist & Surrealist Period,Weeping Woman,1.7678,7.7033,183.0304,466.6424
Neoclassicist & Surrealist Period,Window opened to the street Penthieure,1.7802,7.5857,130.9085,486.0546
Neoclassicist & Surrealist Period,Woman by the dresser,1.7666,7.8305,161.8973,493.3431
Neoclassicist & Surrealist Period,Woman by the dresser_1,1.9272,7.4148,82.6771,586.1625
Neoclassicist & Surrealist Period,Woman by the window,1.8321,7.6465,200.3247,452.2138
Neoclassicist & Surrealist Period,Woman in an armchair,1.8083,7.4936,98.8846,567.6628
Neoclassicist & Surrealist Period,Woman in beret and checked dress,1.6336,7.2155,198.3726,336.7370
Neoclassicist & Surrealist Period,Woman in green,1.6555,7.4630,98.9090,216.5943
Neoclassicist & Surrealist Period,Woman in red armchair,1.6300,7.2755,135.1681,367.3852
Neoclassicist & Surrealist Period,Woman in striped armchair,1.7582,7.6897,171.8693,461.8294
Neoclassicist & Surrealist Period,Woman in the Garden,1.8186,7.5024,29.7238,213.2702
Neoclassicist & Surrealist Period,Woman in the interior,1.9194,7.3447,113.9660,589.9944
Neoclassicist & Surrealist Period,Woman in white,1.8775,6.9859,398.8244,554.9850
Neoclassicist & Surrealist Period,Woman on the beach,1.7505,7.6505,183.1641,443.0535
Neoclassicist & Surrealist Period,Woman reading (Olga),1.8630,7.1805,85.1602,556.1610
Neoclassicist & Surrealist Period,Woman reading (Olga)_1,1.5933,7.5156,128.9867,342.7268
Neoclassicist & Surrealist Period,Woman reading,1.6060,7.2462,133.9762,320.8768
Neoclassicist & Surrealist Period,Woman sitting in an armchair_1,1.7389,7.7853,101.4812,443.1386
Neoclassicist & Surrealist Period,Woman sitting in an armchair_2,1.8932,7.6632,136.9552,568.2477
Neoclassicist & Surrealist Period,Woman sitting in an armchair_3,1.8211,7.8601,151.4559,593.3370
Neoclassicist & Surrealist Period,Woman sitting in an armchair_4,1.7466,7.8006,217.4957,458.7406
Neoclassicist & Surrealist Period,Woman sitting in an armchair_5,1.7484,7.6558,143.2367,465.4132
Neoclassicist & Surrealist Period,Woman sitting in an armchair_6,1.7980,7.7860,78.2366,240.7525
Neoclassicist & Surrealist Period,Woman sitting in an armchair_7,1.4341,6.7637,120.7101,261.6627
Neoclassicist & Surrealist Period,Woman sitting in an armchair_8,1.8548,7.5602,142.2000,506.1121
Neoclassicist & Surrealist Period,Woman sitting in red armchair,1.9274,7.5992,203.4068,586.3058
Neoclassicist & Surrealist Period,Woman styling her hair,1.6186,7.0067,57.2592,400.6839
Neoclassicist & Surrealist Period,Woman turned right,1.6935,7.7231,188.6000,397.9921
Neoclassicist & Surrealist Period,Woman washing her feet,1.8398,7.5954,240.4194,536.9763
Neoclassicist & Surrealist Period,Woman with book,1.6888,7.3832,130.6596,422.3390
Neoclassicist & Surrealist Period,Woman with bouquet,1.8561,7.5547,201.4275,616.9818
Neoclassicist & Surrealist Period,Woman with brooch,1.7342,7.1619,89.2780,359.4027
Neoclassicist & Surrealist Period,Woman with cap_1,1.7095,7.6696,150.4783,410.6304
Neoclassicist & Surrealist Period,Woman with child on the seashore,1.7643,7.2293,235.0743,674.2095
Neoclassicist & Surrealist Period,Woman with cockerel,1.8289,7.5737,122.7923,686.3349
Neoclassicist & Surrealist Period,Woman with flower,1.8098,7.6131,148.6857,462.6769
Neoclassicist & Surrealist Period,Woman with hat (Olga),1.8770,6.9755,73.8641,515.8879
Neoclassicist & Surrealist Period,Woman with hat_1,1.6306,7.4764,160.8351,369.1036
Neoclassicist & Surrealist Period,Woman with mandolin_1,1.7625,7.5194,48.3350,519.9372
Neoclassicist & Surrealist Period,Woman with red hat,1.8230,7.4108,78.9785,419.8361
Neoclassicist & Surrealist Period,Woman with straw hat on flowery background,1.8429,7.4701,252.2808,526.3935
Neoclassicist & Surrealist Period,Woman with yellow hair,1.8141,7.4008,43.8407,664.7076
Neoclassicist & Surrealist Period,Woman writing,1.6396,7.1519,187.0972,330.4075
Neoclassicist & Surrealist Period,Woman's head and hand,1.7375,7.3457,46.2806,387.5595
Neoclassicist & Surrealist Period,Woman's head,1.5810,6.9223,120.7494,303.9532
Neoclassicist & Surrealist Period,Woman’s Head,1.6854,7.5610,39.4525,346.2185
Neoclassicist & Surrealist Period,Women at their toilette,1.8115,7.6009,116.8278,528.2664
Neoclassicist & Surrealist Period,Working painter observed by a nude model,1.8938,5.6505,68.0921,526.8823
Neoclassicist & Surrealist Period,Wounded bird,1.7827,7.5485,124.7469,404.3396
Neoclassicist & Surrealist Period,Young girl throwing a rock,1.7856,7.8752,139.1453,538.7450
Neoclassicist & Surrealist Period,Young Tormented Girl,1.8157,7.0914,56.6800,368.0632
Rose Period,A bank of canal,1.9101,6.5493,53.8725,473.0892
Rose Period,A boat on the canal,1.9054,5.5837,42.0255,479.8239
Rose Period,A boy with pipe,1.8907,7.4737,2454.9348,865.1488
Rose Period,A horsewoman,1.9391,6.3769,565.1939,481.0868
Rose Period,Acrobat and young harlequin,1.7040,7.3776,74.8977,420.2068
Rose Period,An actor,1.7417,7.5982,327.8598,315.6305
Rose Period,At Lapin Agile (Harlequin with Glass),1.5936,7.5049,304.5421,379.7137
Rose Period,Bed with mosquito nets,1.8124,7.4875,143.3731,381.2929
Rose Period,Boy leading a horse,1.8720,7.6543,965.6803,1027.1926
Rose Period,Boy with bouquet of flowers in his hand,1.8698,7.0840,145.7956,481.6562
Rose Period,Bust of woman_1,1.5798,7.3266,41.5713,154.3221
Rose Period,Composition  Peasants,1.6222,7.2019,171.6608,366.3429
Rose Period,Dutch girl,1.8209,7.4196,762.8441,816.2117
Rose Period,Dutch landscape with windmills,1.8305,6.9307,35.8872,341.6655
Rose Period,Dutchwoman beside the canal,1.8759,6.0323,42.3258,563.0927
Rose Period,El Tinen,1.8323,7.4997,130.6761,435.0119
Rose Period,Family of acrobats (Jugglers),1.9237,7.7683,1040.0960,1086.6366
Rose Period,Family of acrobats (study),1.8911,7.6563,627.0638,900.2416
Rose Period,Family of Acrobats with Monkey,1.8786,7.5830,1218.9145,1044.2493
Rose Period,Family of acrobats,1.9073,6.5101,88.8715,628.3846
Rose Period,Family of jugglers,1.9345,7.7989,1546.2583,1009.9051
Rose Period,Fernande with shawl,1.8601,7.1236,140.8729,448.4803
Rose Period,Fernande's Head,1.8142,7.1747,132.4448,490.6152
Rose Period,Girl and goat,1.8682,7.3708,332.6041,922.7934
Rose Period,Girl on the ball,1.8614,7.8447,720.4724,1097.4474
Rose Period,Hairdressing,1.8732,7.7027,540.4077,1124.7235
Rose Period,Harlequin on the horseback,1.8224,7.4395,299.3788,457.0954
Rose Period,Harlequin's death,1.9137,7.3939,1136.3793,909.4666
Rose Period,Harlequin's family,1.8346,7.3251,319.0039,516.5413
Rose Period,Harlequin's family_1,1.7249,7.4825,73.7886,221.1456
Rose Period,Harlequin's Head,1.6169,6.9045,68.4333,312.4473
Rose Period,Head of hurdy-gurdy,1.8262,6.9066,49.4023,493.3130
Rose Period,Head of young man,1.7447,6.8264,198.7639,296.1840
Rose Period,Head of young man_1,1.8862,6.9379,138.6299,493.0445
Rose Period,Hurdy-gurdy,1.9069,7.5276,1059.6374,1288.7749
Rose Period,Lovers,1.8953,7.6626,963.5429,879.5074
Rose Period,Madame Soler,1.6221,7.2188,122.5736,316.4300
Rose Period,Madeleine,1.8901,6.5116,206.5975,537.9825
Rose Period,Mallorcan,1.8847,6.8044,208.8677,433.5223
Rose Period,Mother and child (Baladins),1.7689,7.5295,583.4542,426.9370
Rose Period,Mother and child (study),1.8506,7.5795,426.0183,545.3770
Rose Period,Mother and Child_1,1.8766,6.6555,110.3272,693.7833
Rose Period,Nude woman naked face and nude woman profile,1.7384,7.2637,378.9301,413.6568
Rose Period,Nude Youth,1.8442,6.9678,218.3208,392.7503
Rose Period,"Nude, study to Harem",1.9326,5.9930,349.9459,464.1158
Rose Period,Nudes interlaces,1.8963,7.0750,118.1301,582.2555
Rose Period,Peasants,1.8848,6.9610,171.0647,538.9090
Rose Period,Portrait of Allan Stein,1.6837,6.8913,495.1122,310.5273
Rose Period,Portrait of Fernande Olivier in headscarves,1.8702,6.7427,169.7357,693.9217
Rose Period,Portrait of Gertrude Stein,1.6956,7.2561,1388.1600,652.9205
Rose Period,Portrait of Madame Canals,1.8214,7.7391,226.2545,499.4415
Rose Period,Portrait of nude Casagemas,1.8680,5.9811,19.3196,699.2809
Rose Period,Reclining Nude (Fernande),1.9256,7.5215,911.4650,1049.7172
Rose Period,Right profile of clown,1.8316,7.6426,233.0344,406.7765
Rose Period,Salome,1.9012,6.7637,90.2053,836.4436
Rose Period,Seated fat clown,1.8289,7.3937,125.4376,613.4360
Rose Period,Seated female nude_1,1.8174,7.2882,365.4642,492.9847
Rose Period,Seated harlequin,1.4578,6.5815,527.4619,296.1887
Rose Period,Seated monkey,1.8008,7.3447,348.4953,464.5835
Rose Period,Self-Portrait_6,1.8813,7.8445,890.7352,1269.4515
Rose Period,Self-Portrait_7,1.9352,7.2117,266.5622,548.7433
Rose Period,Sleeping nude,1.9446,7.6337,709.6797,1086.6736
Rose Period,Sleeping woman (Meditation),1.8408,7.6911,760.8498,773.1604
Rose Period,Spaniard,1.8388,7.6997,210.3107,593.2643
Rose Period,Standing female nude,1.9161,7.5152,1454.2106,888.8693
Rose Period,Still life with Table,1.8833,6.9290,214.9530,539.2071
Rose Period,Still life with vases,1.7698,7.1611,366.6225,337.1402
Rose Period,Study to Girls from Avignon,1.9358,6.7261,47.9990,354.9396
Rose Period,Teenagers,1.8616,7.5742,576.4388,796.1033
Rose Period,Teenagers_1,1.9187,6.8021,324.3901,486.1289
Rose Period,The bread carrier,1.8458,7.1939,51.9457,660.2736
Rose Period,The Catalan Sculptor Manolo (Manuel Hugué),1.8971,7.7839,1026.8179,863.2979
Rose Period,The fool,1.7907,7.3640,161.2369,386.5232
Rose Period,The fool_1,1.9457,5.9632,54.6573,741.6036
Rose Period,The Harem,1.9205,7.5191,1602.2387,1272.3670
Rose Period,The Mackerel,1.8700,6.6668,72.6920,657.0586
Rose Period,The three dutchwoman,1.8072,7.7732,540.0121,1005.8943
Rose Period,Three nudes,1.8916,7.6556,1276.0121,762.9458
Rose Period,Toilette,1.5735,6.8334,112.3734,273.4948
Rose Period,Toilette_1,1.8758,7.4347,576.4735,1253.3804
Rose Period,Toilette_2,1.8793,6.4036,147.6906,559.7422
Rose Period,Two acrobats with a dog,1.9261,7.6173,938.4040,1126.8190
Rose Period,Two brothers,1.4298,6.6266,274.3611,337.7566
Rose Period,Two figures,1.6383,7.1710,815.7906,660.0698
Rose Period,Two friends_1,1.9357,7.3657,226.7716,855.7100
Rose Period,Two nude women,1.7155,7.5141,157.7146,402.5384
Rose Period,Two nude women_1,1.8688,7.6286,1239.2098,969.1138
Rose Period,Two nude women_2,1.8787,7.1874,271.4984,444.1032
Rose Period,Two nudes and a cat,1.8719,5.9599,61.8636,704.6168
Rose Period,Two roosters,1.9193,5.6254,51.0617,483.3854
Rose Period,Venus and Cupid,1.8721,6.4332,63.4448,566.4977
Rose Period,Woman on a donkey,1.8498,7.4009,260.9348,586.9120
Rose Period,Woman with comb,1.8912,7.9324,1466.5567,933.6674
Rose Period,Woman's profile,1.8869,7.8220,1235.2262,847.2896
Rose Period,Young acrobat and clown,1.8716,7.5331,1206.5487,1045.9076
Rose Period,Young naked girl with flower basket,1.8753,7.6383,2286.7997,1013.2220
